ID,名称,分类,组成药材及剂量,冲泡方法,核心功效,适应体质/证型,适用人群,饮用疗程,禁忌说明
37,连翘解毒茶,清热解毒茶,连翘10克、金银花6克,沸水冲泡15分钟,清热解毒,风热表证,痈肿疮毒者,3-5天,脾胃虚寒者慎用
38,黄精补精茶,补肾壮阳茶,黄精10克、枸杞子6克,沸水冲泡或水煎,补肾壮阳,肾精不足,腰膝酸软者,2-4周,实热证慎用
39,车前子利水茶,祛湿消肿茶,车前子10克、木通5克,沸水冲泡或水煎,祛湿消肿,痰湿体质,小便不利者,5-7天,肾虚无湿者慎用
40,郁李仁润肠茶,润肠通便茶,郁李仁10克、火麻仁6克,沸水冲泡15分钟,润肠通便,阴虚体质,津枯便秘者,3-5天,脾虚便溏者不宜
41,党参补中茶,健脾益气茶,党参10克、黄芪6克,沸水冲泡或水煎,健脾益气,气虚体质,中气不足者,2-4周,实热证忌用
42,天花粉生津茶,生津止渴茶,天花粉10克、芦根15克,沸水冲泡或水煎,生津止渴,阴虚体质,热病伤津者,5-7天,脾胃虚寒者慎用
43,羌活祛风茶,解表散寒茶,羌活6克、防风5克,沸水冲泡15分钟,解表散寒,风寒表证,风寒湿痹者,3-5天,阴虚火旺者慎用
44,黄芩清热茶,清热泻火茶,黄芩10克、黄连3克,沸水冲泡或水煎,清热泻火,阳虚体质,肺热咳嗽者,3-5天,脾胃虚寒者禁用
45,茜草止血茶,凉血止血茶,茜草10克、生地6克,沸水冲泡或水煎,凉血止血,血热妄行,血热妄行者,5-7天,脾胃虚寒者慎用
46,陈皮理气茶,消食导滞茶,陈皮6克、生姜3片,沸水冲泡10分钟,消食导滞,脾胃虚弱,脘腹胀满者,3-5天,阴虚火旺者慎用
47,石斛养胃茶,滋阴润肺茶,石斛10克、麦冬6克,沸水冲泡或水煎,滋阴润肺,阴虚体质,胃阴不足者,7-10天,脾胃虚寒者慎用
48,蒲公英解毒茶,清热解毒茶,蒲公英15克、甘草3克,沸水冲泡15分钟,清热解毒,风热表证,乳痈疔疮者,3-5天,脾胃虚寒者慎用
49,杜仲强筋茶,补肾壮阳茶,杜仲10克、牛膝6克,沸水冲泡或水煎,补肾壮阳,肾精不足,腰膝无力者,2-4周,阴虚火旺者慎用
50,玉米须利水茶,祛湿消肿茶,玉米须15克、茯苓10克,沸水冲泡或水煎,祛湿消肿,痰湿体质,水肿尿少者,1-2周,肾功能不全者慎用
51,肉苁蓉润肠茶,润肠通便茶,肉苁蓉10克、当归6克,沸水冲泡或水煎,润肠通便,血虚体质,血虚便秘者,5-7天,实热便秘者不宜
52,山药健脾茶,健脾益气茶,山药15克、莲子10克,沸水冲泡或水煎,健脾益气,气虚体质,脾虚泄泻者,2-4周,湿盛中满者慎用
53,芦根清热茶,清热解毒茶,芦根15克、淡竹叶6克,沸水冲泡或水煎,清热解毒,风热表证,热病烦渴者,3-5天,脾胃虚寒者慎用
54,合欢皮安神茶,养心安神茶,合欢皮10克、夜交藤10克,沸水冲泡或水煎,养心安神,阴虚体质,心神不安者,7-14天,孕妇慎用
55,藁本散寒茶,解表散寒茶,藁本6克、川芎5克,沸水冲泡15分钟,解表散寒,风寒表证,巅顶头痛者,1-3天,阴虚火旺者慎用
56,知母泻火茶,清热泻火茶,知母10克、黄柏6克,沸水冲泡或水煎,清热泻火,阳虚体质,骨蒸潮热者,5-7天,脾胃虚寒者禁用
57,仙鹤草止血茶,凉血止血茶,仙鹤草15克、侧柏叶6克,沸水冲泡或水煎,凉血止血,血热妄行,各种出血者,5-7天,脾胃虚寒者慎用
58,神曲消食茶,消食导滞茶,神曲10克、山楂6克,沸水冲泡或水煎,消食导滞,脾胃虚弱,食积不化者,3-5天,无积滞者不宜
59,玉竹润燥茶,滋阴润肺茶,玉竹10克、沙参6克,沸水冲泡15分钟,滋阴润肺,阴虚体质,肺胃阴伤者,7-10天,痰湿咳嗽者慎用
60,板蓝根解毒茶,清热解毒茶,板蓝根15克、甘草3克,沸水冲泡或水煎,清热解毒,风热表证,咽喉肿痛者,3-5天,脾胃虚寒者慎用
61,淫羊藿壮阳茶,补肾壮阳茶,淫羊藿10克、巴戟天6克,沸水冲泡或水煎,补肾壮阳,肾精不足,肾阳虚衰者,2-4周,阴虚火旺者禁用
62,泽泻利水茶,祛湿消肿茶,泽泻10克、白术6克,沸水冲泡或水煎,祛湿消肿,痰湿体质,水湿内停者,1-2周,肾虚无湿者慎用
63,当归润肠茶,润肠通便茶,当归10克、肉苁蓉6克,沸水冲泡或水煎,润肠通便,血虚体质,血虚便秘者,5-7天,湿盛便溏者不宜
64,黄芪升阳茶,健脾益气茶,黄芪15克、升麻3克,沸水冲泡或水煎,健脾益气,气虚体质,中气下陷者,2-4周,实热证忌用
65,天花粉止渴茶,生津止渴茶,天花粉10克、麦冬6克,沸水冲泡或水煎,生津止渴,阴虚体质,热病伤津者,5-7天,脾胃虚寒者慎用
66,细辛散寒茶,解表散寒茶,细辛3克、白芷5克,沸水冲泡10分钟,解表散寒,风寒表证,鼻渊头痛者,1-3天,阴虚火旺者慎用
67,龙胆泻肝茶,清热泻火茶,龙胆草6克、栀子5克,沸水冲泡或水煎,清热泻火,阳虚体质,肝胆实火者,3-5天,脾胃虚寒者禁用
68,三七止血茶,凉血止血茶,三七粉3克、白及6克,沸水冲泡或水煎,凉血止血,血热妄行,外伤出血者,5-7天,孕妇慎用
69,麦芽消食茶,消食导滞茶,炒麦芽15克、神曲6克,沸水冲泡或水煎,消食导滞,脾胃虚弱,米面食积者,3-5天,无积滞者不宜
70,南沙参润肺茶,滋阴润肺茶,南沙参10克、百合6克,沸水冲泡15分钟,滋阴润肺,阴虚体质,肺燥干咳者,7-10天,风寒咳嗽者慎用
71,鱼腥草解毒茶,清热解毒茶,鱼腥草15克、桔梗6克,沸水冲泡或水煎,清热解毒,风热表证,肺痈吐脓者,5-7天,脾胃虚寒者慎用
72,菟丝子补肾茶,补肾壮阳茶,菟丝子10克、枸杞子6克,沸水冲泡或水煎,补肾壮阳,肾精不足,肾虚腰痛者,2-4周,阴虚火旺者慎用
73,冬瓜皮利水茶,祛湿消肿茶,冬瓜皮15克、玉米须10克,沸水冲泡或水煎,祛湿消肿,痰湿体质,水肿小便不利者,1-2周,肾阳虚衰者慎用
74,杏仁止咳茶,润肠通便茶,杏仁6克、贝母5克,沸水冲泡10分钟,润肠通便,阴虚体质,燥咳便秘者,3-5天,脾虚便溏者不宜
75,西洋参补气茶,健脾益气茶,西洋参片3克、麦冬6克,沸水冲泡或隔水炖20分钟,健脾益气,气虚体质,气阴两虚者,1-2周,阳虚寒盛者慎用
76,石膏止渴茶,清热泻火茶,生石膏20克、知母6克,水煎代茶,清热泻火,阳虚体质,高热烦渴者,1-3天,脾胃虚寒者禁用
77,艾叶温经茶,温中散寒茶,艾叶6克、当归5克,沸水冲泡或水煎,温中散寒,脾胃虚寒,虚寒出血者,5-7天,阴虚血热者禁用
78,红花活血茶,活血化瘀茶,红花5克、当归6克,沸水冲泡15分钟,活血化瘀,血瘀体质,经闭痛经者,5-7天,孕妇禁用
79,白扁豆健脾茶,健脾益气茶,白扁豆15克、山药10克,沸水冲泡或水煎,健脾益气,气虚体质,脾虚泄泻者,2-4周,湿盛中满者慎用
80,大青叶解毒茶,清热解毒茶,大青叶10克、板蓝根6克,沸水冲泡或水煎,清热解毒,风热表证,痄腮喉痹者,3-5天,脾胃虚寒者慎用
81,韭菜子补肾茶,补肾壮阳茶,韭菜子10克、菟丝子6克,沸水冲泡或水煎,补肾壮阳,肾精不足,肾阳不足者,2-4周,阴虚火旺者禁用
82,萆薢利湿茶,祛湿消肿茶,萆薢10克、茯苓6克,沸水冲泡或水煎,祛湿消肿,痰湿体质,膏淋白浊者,1-2周,肾阴虚者慎用
83,苏子降气茶,润肠通便茶,苏子10克、莱菔子6克,沸水冲泡或水煎,润肠通便,痰湿体质,痰壅气逆者,5-7天,气虚便溏者慎用
84,太子参益气茶,健脾益气茶,太子参10克、黄芪6克,沸水冲泡或水煎,健脾益气,气虚体质,气阴两虚者,1-2周,实热证慎用
85,芦根生津茶,生津止渴茶,芦根15克、天花粉6克,沸水冲泡或水煎,生津止渴,阴虚体质,热病伤津者,5-7天,脾胃虚寒者慎用
86,白芷散寒茶,解表散寒茶,白芷6克、羌活5克,沸水冲泡15分钟,解表散寒,风寒表证,眉棱骨痛者,1-3天,阴虚火旺者慎用
87,夏枯草泻火茶,清热泻火茶,夏枯草10克、蒲公英6克,沸水冲泡或水煎,清热泻火,阳虚体质,瘰疬瘿瘤者,7-10天,脾胃虚寒者慎用
88,地榆止血茶,凉血止血茶,地榆炭10克、槐花6克,沸水冲泡或水煎,凉血止血,血热妄行,便血痔血者,5-7天,脾胃虚寒者慎用
89,谷芽消食茶,消食导滞茶,炒谷芽15克、麦芽6克,沸水冲泡或水煎,消食导滞,脾胃虚弱,米谷食积者,3-5天,无积滞者不宜
90,天冬润肺茶,滋阴润肺茶,天冬10克、麦冬6克,沸水冲泡或水煎,滋阴润肺,阴虚体质,肺燥干咳者,7-10天,脾胃虚寒者慎用
91,紫花地丁解毒茶,清热解毒茶,紫花地丁15克、蒲公英6克,沸水冲泡或水煎,清热解毒,风热表证,疔疮痈肿者,3-5天,脾胃虚寒者慎用
92,锁阳补肾茶,补肾壮阳茶,锁阳10克、肉苁蓉6克,沸水冲泡或水煎,补肾壮阳,肾精不足,肾阳亏虚者,2-4周,阴虚火旺者禁用
93,瞿麦利水茶,祛湿消肿茶,瞿麦10克、萹蓄6克,沸水冲泡或水煎,祛湿消肿,痰湿体质,热淋涩痛者,5-7天,肾虚无湿者慎用
94,桃仁润肠茶,润肠通便茶,桃仁10克、当归6克,沸水冲泡或水煎,润肠通便,血瘀体质,血瘀便秘者,5-7天,孕妇禁用
95,白术健脾茶,健脾益气茶,白术10克、茯苓6克,沸水冲泡或水煎,健脾益气,气虚体质,脾虚湿盛者,2-4周,阴虚火旺者慎用
96,野菊花解毒茶,清热解毒茶,野菊花10克、金银花6克,沸水冲泡或水煎,清热解毒,风热表证,目赤肿痛者,3-5天,脾胃虚寒者慎用
97,蛤蚧补肾茶,补肾壮阳茶,蛤蚧一对、人参3克,研末冲服或炖服,补肾壮阳,肾精不足,肺肾两虚者,2-4周,外感咳嗽者慎用
98,滑石利水茶,祛湿消肿茶,滑石15克、甘草3克,沸水冲泡或水煎,祛湿消肿,湿热体质,暑湿泄泻者,3-5天,肾功能不全者慎用
99,玄参润肠茶,润肠通便茶,玄参10克、生地6克,沸水冲泡或水煎,润肠通便,阴虚体质,津枯便秘者,5-7天,脾虚便溏者不宜
100,甘草益气茶,健脾益气茶,甘草片5克、大枣3枚,沸水冲泡10分钟,健脾益气,气虚体质,倦怠乏力者,1-2周,湿盛中满者慎用
101,知母清热茶,清热泻火茶,知母10克、石膏15克,水煎代茶,清热泻火,阳虚体质,肺胃热盛者,3-5天,脾胃虚寒者禁用
102,荆芥解表茶,解表散寒茶,荆芥6克、防风5克,沸水冲泡10分钟,解表散寒,风寒表证,感冒头痛者,1-3天,阴虚火旺者慎用
103,白及止血茶,凉血止血茶,白及10克、三七粉3克,沸水冲泡或水煎,凉血止血,血热妄行,咯血吐血者,5-7天,脾胃虚寒者慎用
104,鸡内金消食茶,消食导滞茶,鸡内金10克、山楂6克,沸水冲泡或水煎,消食导滞,脾胃虚弱,小儿疳积者,5-7天,无积滞者不宜
105,麦冬润肺茶,滋阴润肺茶,麦冬10克、沙参6克,沸水冲泡15分钟,滋阴润肺,阴虚体质,肺燥咳嗽者,7-10天,风寒咳嗽者慎用
106,贯众解毒茶,清热解毒茶,贯众10克、板蓝根6克,沸水冲泡或水煎,清热解毒,风热表证,痄腮喉痹者,3-5天,脾胃虚寒者慎用
107,鹿茸补肾茶,补肾壮阳茶,鹿茸片1克、人参3克,研末冲服或炖服,补肾壮阳,肾精不足,肾阳虚衰者,2-4周,阴虚火旺者禁用
108,萹蓄利水茶,祛湿消肿茶,萹蓄10克、瞿麦6克,沸水冲泡或水煎,祛湿消肿,湿热体质,热淋涩痛者,5-7天,肾虚无湿者慎用
109,生地润肠茶,润肠通便茶,生地10克、玄参6克,沸水冲泡或水煎,润肠通便,阴虚体质,津伤便秘者,5-7天,脾虚便溏者不宜
110,党参健脾茶,健脾益气茶,党参10克、白术6克,沸水冲泡或水煎,健脾益气,气虚体质,脾虚食少者,2-4周,实热证忌用
111,竹叶清心茶,清热泻火茶,淡竹叶10克、甘草3克,沸水冲泡10分钟,清热泻火,阳虚体质,心火亢盛者,3-5天,脾胃虚寒者慎用
112,防风解表茶,解表散寒茶,防风6克、羌活5克,沸水冲泡10分钟,解表散寒,风寒表证,风湿痹痛者,1-3天,阴虚火旺者慎用
113,血余炭止血茶,凉血止血茶,血余炭6克、蒲黄5克,沸水冲泡或水煎,凉血止血,血热妄行,各种出血者,5-7天,脾胃虚寒者慎用
114,稻芽消食茶,消食导滞茶,炒稻芽15克、神曲6克,沸水冲泡或水煎,消食导滞,脾胃虚弱,米谷食积者,3-5天,无积滞者不宜
115,石斛养阴茶,滋阴润肺茶,石斛10克、麦冬6克,沸水冲泡或水煎,滋阴润肺,阴虚体质,胃阴不足者,7-10天,脾胃虚寒者慎用
116,土茯苓解毒茶,清热解毒茶,土茯苓15克、金银花6克,沸水冲泡或水煎,清热解毒,湿热体质,湿热疮毒者,7-10天,脾胃虚寒者慎用
117,海马补肾茶,补肾壮阳茶,海马一对、人参3克,研末冲服或炖服,补肾壮阳,肾精不足,肾阳虚衰者,2-4周,阴虚火旺者禁用
118,木通利水茶,祛湿消肿茶,木通6克、车前子10克,沸水冲泡或水煎,祛湿消肿,湿热体质,心烦尿赤者,5-7天,肾功能不全者慎用
119,阿胶润肺茶,滋阴润肺茶,阿胶珠6克、梨汁适量,烊化冲服,滋阴润肺,阴虚体质,肺燥咳嗽者,7-10天,脾胃虚弱者慎用
120,苍耳子通鼻茶,清热解毒茶,苍耳子6克、辛夷5克,沸水冲泡10分钟,清热解毒,风热表证,鼻渊头痛者,5-7天,血虚头痛者慎用
121,肉桂温阳茶,温中散寒茶,肉桂3克、附子3克,沸水冲泡或水煎,温中散寒,脾胃虚寒,命门火衰者,5-7天,阴虚火旺者禁用
122,益母草活血茶,活血化瘀茶,益母草10克、当归6克,沸水冲泡或水煎,活血化瘀,血瘀体质,月经不调者,5-7天,孕妇禁用
123,芡实健脾茶,健脾益气茶,芡实15克、莲子10克,沸水冲泡或水煎,健脾益气,气虚体质,脾虚泄泻者,2-4周,湿盛中满者慎用
124,马齿苋解毒茶,清热解毒茶,马齿苋15克、地锦草6克,沸水冲泡或水煎,清热解毒,湿热体质,痢疾腹泻者,3-5天,脾胃虚寒者慎用
125,巴戟天补肾茶,补肾壮阳茶,巴戟天10克、杜仲6克,沸水冲泡或水煎,补肾壮阳,肾精不足,肾阳不足者,2-4周,阴虚火旺者禁用
126,茵陈利湿茶,祛湿消肿茶,茵陈15克、栀子6克,沸水冲泡或水煎,祛湿消肿,湿热体质,湿热黄疸者,7-10天,脾虚无湿者慎用
127,贝母止咳茶,润肠通便茶,川贝母3克、雪梨汁适量,研末冲服,润肠通便,阴虚体质,燥痰咳嗽者,5-7天,脾虚便溏者慎用
128,黄精补气茶,健脾益气茶,黄精10克、山药6克,沸水冲泡或水煎,健脾益气,气虚体质,气阴两虚者,2-4周,实热证慎用
129,芦根清胃茶,清热泻火茶,芦根15克、竹茹6克,沸水冲泡或水煎,清热泻火,阳虚体质,胃热呕吐者,3-5天,脾胃虚寒者慎用
130,麻黄解表茶,解表散寒茶,麻黄3克、桂枝5克,沸水冲泡或水煎,解表散寒,风寒表证,风寒感冒者,1-3天,阴虚火旺者慎用
131,棕榈炭止血茶,凉血止血茶,棕榈炭10克、血余炭6克,沸水冲泡或水煎,凉血止血,血热妄行,崩漏下血者,5-7天,脾胃虚寒者慎用
132,莱菔子消食茶,消食导滞茶,莱菔子10克、神曲6克,沸水冲泡或水煎,消食导滞,脾胃虚弱,食积气滞者,3-5天,无积滞者不宜
133,百合安神茶,养心安神茶,百合10克、知母6克,沸水冲泡15分钟,养心安神,阴虚体质,虚烦惊悸者,7-14天,风寒咳嗽者慎用
134,败酱草解毒茶,清热解毒茶,败酱草15克、红藤6克,沸水冲泡或水煎,清热解毒,湿热体质,肠痈腹痛者,7-10天,脾胃虚寒者慎用
135,仙茅补肾茶,补肾壮阳茶,仙茅10克、淫羊藿6克,沸水冲泡或水煎,补肾壮阳,肾精不足,肾阳虚衰者,2-4周,阴虚火旺者禁用
136,猪苓利水茶,祛湿消肿茶,猪苓10克、茯苓6克,沸水冲泡或水煎,祛湿消肿,痰湿体质,水湿内停者,1-2周,肾虚无湿者慎用
137,瓜蒌润肠茶,润肠通便茶,瓜蒌仁10克、火麻仁6克,沸水冲泡或水煎,润肠通便,痰热体质,肠燥便秘者,5-7天,脾虚便溏者不宜
138,白扁豆健脾茶,健脾益气茶,白扁豆15克、莲子10克,沸水冲泡或水煎,健脾益气,气虚体质,脾虚泄泻者,2-4周,湿盛中满者慎用
139,半枝莲解毒茶,清热解毒茶,半枝莲15克、白花蛇舌草6克,沸水冲泡或水煎,清热解毒,湿热体质,痈肿疮毒者,7-10天,脾胃虚寒者慎用
140,胡芦巴补肾茶,补肾壮阳茶,胡芦巴10克、补骨脂6克,沸水冲泡或水煎,补肾壮阳,肾精不足,肾阳不足者,2-4周,阴虚火旺者禁用
141,茯苓皮利水茶,祛湿消肿茶,茯苓皮15克、生姜皮6克,沸水冲泡或水煎,祛湿消肿,痰湿体质,皮水浮肿者,1-2周,肾阳虚衰者慎用
142,郁金活血茶,活血化瘀茶,郁金10克、丹参6克,沸水冲泡或水煎,活血化瘀,血瘀体质,胸胁刺痛者,5-7天,孕妇禁用
143,莲子健脾茶,健脾益气茶,莲子15克、山药10克,沸水冲泡或水煎,健脾益气,气虚体质,脾虚泄泻者,2-4周,湿盛中满者慎用
144,白头翁解毒茶,清热解毒茶,白头翁15克、秦皮6克,沸水冲泡或水煎,清热解毒,湿热体质,热毒痢疾者,3-5天,脾胃虚寒者慎用
145,韭菜子温阳茶,温中散寒茶,韭菜子10克、菟丝子6克,沸水冲泡或水煎,温中散寒,脾胃虚寒,肾阳不足者,2-4周,阴虚火旺者禁用
146,萹蓄通淋茶,祛湿消肿茶,萹蓄10克、瞿麦6克,沸水冲泡或水煎,祛湿消肿,湿热体质,热淋涩痛者,5-7天,肾虚无湿者慎用
147,远志安神茶,养心安神茶,远志6克、石菖蒲5克,沸水冲泡10分钟,养心安神,阴虚体质,心神不安者,7-14天,胃炎患者慎用
148,重楼解毒茶,清热解毒茶,重楼6克、金银花10克,沸水冲泡或水煎,清热解毒,风热表证,痈肿疔疮者,3-5天,脾胃虚寒者慎用
149,补骨脂补肾茶,补肾壮阳茶,补骨脂10克、核桃仁6克,沸水冲泡或水煎,补肾壮阳,肾精不足,肾阳不足者,2-4周,阴虚火旺者禁用
150,大腹皮行气茶,祛湿消肿茶,大腹皮10克、陈皮6克,沸水冲泡或水煎,祛湿消肿,气滞体质,脘腹胀满者,5-7天,气虚无滞者慎用
151,五灵脂活血茶,活血化瘀茶,五灵脂6克、蒲黄5克,沸水冲泡或水煎,活血化瘀,血瘀体质,瘀血疼痛者,5-7天,孕妇禁用
152,薏苡仁健脾茶,健脾益气茶,薏苡仁15克、白扁豆10克,沸水冲泡或水煎,健脾益气,气虚体质,脾虚湿盛者,2-4周,阴虚火旺者慎用
153,射干解毒茶,清热解毒茶,射干6克、桔梗5克,沸水冲泡10分钟,清热解毒,风热表证,咽喉肿痛者,3-5天,脾胃虚寒者慎用
154,肉豆蔻温中茶,温中散寒茶,肉豆蔻3克、吴茱萸2克,沸水冲泡或水煎,温中散寒,脾胃虚寒,久泻不止者,5-7天,阴虚火旺者禁用
155,萹蓄清热茶,清热泻火茶,萹蓄10克、木通6克,沸水冲泡或水煎,清热泻火,湿热体质,湿热淋证者,5-7天,肾虚无湿者慎用
156,酸枣仁宁神茶,养心安神茶,酸枣仁10克、甘草3克,沸水冲泡15分钟,养心安神,阴虚体质,虚烦不眠者,7-14天,实邪郁火者慎用
157,马勃解毒茶,清热解毒茶,马勃3克、牛蒡子6克,沸水冲泡10分钟,清热解毒,风热表证,咽喉肿痛者,3-5天,脾胃虚寒者慎用
158,益智仁温脾茶,温中散寒茶,益智仁6克、乌药5克,沸水冲泡或水煎,温中散寒,脾胃虚寒,脾肾虚寒者,5-7天,阴虚火旺者禁用
159,萹蓄利尿茶,祛湿消肿茶,萹蓄10克、车前子6克,沸水冲泡或水煎,祛湿消肿,湿热体质,小便不利者,5-7天,肾虚无湿者慎用
160,合欢花解郁茶,疏肝解郁茶,合欢花6克、玫瑰花5克,沸水冲泡10分钟,疏肝解郁,肝气郁结,情志不舒者,1-2周,孕妇慎用
161,青黛解毒茶,清热解毒茶,青黛1克、甘草3克,冲服,清热解毒,阳虚体质,痄腮喉痹者,3-5天,脾胃虚寒者慎用
162,吴茱萸温中茶,温中散寒茶,吴茱萸3克、生姜3片,沸水冲泡或水煎,温中散寒,脾胃虚寒,厥阴头痛者,3-5天,阴虚火旺者禁用
163,萹蓄通淋茶,祛湿消肿茶,萹蓄10克、瞿麦6克,沸水冲泡或水煎,祛湿消肿,湿热体质,热淋涩痛者,5-7天,肾虚无湿者慎用
164,夜交藤安神茶,养心安神茶,夜交藤15克、合欢皮10克,沸水冲泡或水煎,养心安神,阴虚体质,失眠多梦者,7-14天,阳虚体质者慎用
