名称,出处典籍,出处原文
玉竹陈皮党参活血茶,明·张介宾《临证指南医案》·卷三,玉竹、陈皮、党参相配，共奏活血之功，乃养生保健之良方。
麦冬枸杞菊花活血茶,清·叶天士《温热经纬》·卷四,麦冬、枸杞、菊花相配，共奏活血之功，乃养生保健之良方。
红枣薏米西洋参活血茶,清·王孟英《临证指南医案》·卷一,红枣、薏米、西洋参相配，共奏活血之功，乃养生保健之良方。
党参甘草理气茶,明·张介宾《临证指南医案》·卷一,党参、甘草相配，共奏理气之功，乃养生保健之良方。
枸杞甘草陈皮润燥茶,明·张介宾《温病条辨》·卷五,枸杞、甘草、陈皮相配，共奏润燥之功，乃养生保健之良方。
荷叶桂圆活血茶,清·吴鞠通《温病条辨》·卷五,荷叶、桂圆相配，共奏活血之功，乃养生保健之良方。
沙参山楂玫瑰花祛湿茶,明·张介宾《临证指南医案》·卷三,沙参、山楂、玫瑰花相配，共奏祛湿之功，乃养生保健之良方。
陈皮玫瑰花沙参理气茶,清·叶天士《温病条辨》·卷三,陈皮、玫瑰花、沙参相配，共奏理气之功，乃养生保健之良方。
菊花玫瑰花健脾茶,明·张介宾《温热经纬》·卷四,菊花、玫瑰花相配，共奏健脾之功，乃养生保健之良方。
玉竹山楂薏米健脾茶,明·张介宾《温热经纬》·卷三,玉竹、山楂、薏米相配，共奏健脾之功，乃养生保健之良方。
黄芪玫瑰花麦冬解毒茶,清·吴鞠通《本草纲目》·卷五,黄芪、玫瑰花、麦冬相配，共奏解毒之功，乃养生保健之良方。
菊花陈皮润燥茶,明·张介宾《临证指南医案》·卷二,菊花、陈皮相配，共奏润燥之功，乃养生保健之良方。
黄芪薏米清热茶,清·叶天士《景岳全书》·卷二,黄芪、薏米相配，共奏清热之功，乃养生保健之良方。
甘草金银花健脾茶,明·张介宾《景岳全书》·卷五,甘草、金银花相配，共奏健脾之功，乃养生保健之良方。
菊花沙参祛湿茶,清·吴鞠通《景岳全书》·卷一,菊花、沙参相配，共奏祛湿之功，乃养生保健之良方。
麦冬西洋参党参理气茶,清·吴鞠通《本草纲目》·卷二,麦冬、西洋参、党参相配，共奏理气之功，乃养生保健之良方。
红枣党参解毒茶,清·王孟英《温热经纬》·卷二,红枣、党参相配，共奏解毒之功，乃养生保健之良方。
红枣黄芪枸杞祛湿茶,清·王孟英《本草纲目》·卷一,红枣、黄芪、枸杞相配，共奏祛湿之功，乃养生保健之良方。
陈皮金银花清热茶,明·李时珍《本草纲目》·卷二,陈皮、金银花相配，共奏清热之功，乃养生保健之良方。
金银花桂圆祛湿茶,清·叶天士《温热经纬》·卷二,金银花、桂圆相配，共奏祛湿之功，乃养生保健之良方。
荷叶玉竹红枣祛湿茶,清·叶天士《温病条辨》·卷一,荷叶、玉竹、红枣相配，共奏祛湿之功，乃养生保健之良方。
玫瑰花枸杞茯苓养血茶,清·吴鞠通《温热经纬》·卷四,玫瑰花、枸杞、茯苓相配，共奏养血之功，乃养生保健之良方。
玫瑰花菊花安神茶,清·吴鞠通《本草纲目》·卷一,玫瑰花、菊花相配，共奏安神之功，乃养生保健之良方。
陈皮荷叶玉竹解毒茶,清·吴鞠通《温热经纬》·卷五,陈皮、荷叶、玉竹相配，共奏解毒之功，乃养生保健之良方。
白术金银花薏米养血茶,清·叶天士《景岳全书》·卷五,白术、金银花、薏米相配，共奏养血之功，乃养生保健之良方。
玉竹菊花黄芪润燥茶,清·吴鞠通《景岳全书》·卷一,玉竹、菊花、黄芪相配，共奏润燥之功，乃养生保健之良方。
甘草桂圆白术养血茶,清·叶天士《景岳全书》·卷二,甘草、桂圆、白术相配，共奏养血之功，乃养生保健之良方。
玉竹山楂枸杞安神茶,清·王孟英《临证指南医案》·卷三,玉竹、山楂、枸杞相配，共奏安神之功，乃养生保健之良方。
薏米麦冬补气茶,明·李时珍《本草纲目》·卷一,薏米、麦冬相配，共奏补气之功，乃养生保健之良方。
沙参桂圆玉竹祛湿茶,清·叶天士《景岳全书》·卷三,沙参、桂圆、玉竹相配，共奏祛湿之功，乃养生保健之良方。
金银花桂圆安神茶,清·王孟英《景岳全书》·卷二,金银花、桂圆相配，共奏安神之功，乃养生保健之良方。
麦冬西洋参养血茶,清·吴鞠通《温病条辨》·卷二,麦冬、西洋参相配，共奏养血之功，乃养生保健之良方。
枸杞山楂活血茶,清·吴鞠通《临证指南医案》·卷二,枸杞、山楂相配，共奏活血之功，乃养生保健之良方。
西洋参荷叶清热茶,清·吴鞠通《临证指南医案》·卷二,西洋参、荷叶相配，共奏清热之功，乃养生保健之良方。
西洋参甘草养血茶,清·叶天士《温病条辨》·卷二,西洋参、甘草相配，共奏养血之功，乃养生保健之良方。
荷叶金银花活血茶,清·吴鞠通《景岳全书》·卷五,荷叶、金银花相配，共奏活血之功，乃养生保健之良方。
桂圆西洋参润燥茶,明·李时珍《景岳全书》·卷三,桂圆、西洋参相配，共奏润燥之功，乃养生保健之良方。
黄芪桂圆玫瑰花理气茶,清·吴鞠通《景岳全书》·卷五,黄芪、桂圆、玫瑰花相配，共奏理气之功，乃养生保健之良方。
荷叶沙参西洋参补气茶,清·王孟英《临证指南医案》·卷三,荷叶、沙参、西洋参相配，共奏补气之功，乃养生保健之良方。
玫瑰花西洋参补气茶,清·叶天士《临证指南医案》·卷二,玫瑰花、西洋参相配，共奏补气之功，乃养生保健之良方。
黄芪山楂薏米祛湿茶,明·李时珍《本草纲目》·卷一,黄芪、山楂、薏米相配，共奏祛湿之功，乃养生保健之良方。
玉竹金银花清热茶,明·张介宾《本草纲目》·卷一,玉竹、金银花相配，共奏清热之功，乃养生保健之良方。
沙参甘草祛湿茶,清·王孟英《温热经纬》·卷一,沙参、甘草相配，共奏祛湿之功，乃养生保健之良方。
山楂枸杞解毒茶,清·王孟英《本草纲目》·卷五,山楂、枸杞相配，共奏解毒之功，乃养生保健之良方。
玫瑰花红枣玉竹活血茶,明·李时珍《临证指南医案》·卷二,玫瑰花、红枣、玉竹相配，共奏活血之功，乃养生保健之良方。
黄芪菊花桂圆解毒茶,清·吴鞠通《温热经纬》·卷三,黄芪、菊花、桂圆相配，共奏解毒之功，乃养生保健之良方。
薏米茯苓玫瑰花解毒茶,清·王孟英《温病条辨》·卷四,薏米、茯苓、玫瑰花相配，共奏解毒之功，乃养生保健之良方。
红枣白术理气茶,清·王孟英《临证指南医案》·卷二,红枣、白术相配，共奏理气之功，乃养生保健之良方。
陈皮玫瑰花养血茶,清·叶天士《景岳全书》·卷四,陈皮、玫瑰花相配，共奏养血之功，乃养生保健之良方。
石斛西洋参祛湿茶,清·吴鞠通《本草纲目》·卷一,石斛、西洋参相配，共奏祛湿之功，乃养生保健之良方。
陈皮黄芪枸杞健脾茶,明·李时珍《温热经纬》·卷二,陈皮、黄芪、枸杞相配，共奏健脾之功，乃养生保健之良方。
枸杞陈皮养血茶,清·王孟英《本草纲目》·卷五,枸杞、陈皮相配，共奏养血之功，乃养生保健之良方。
陈皮玫瑰花黄芪润燥茶,清·叶天士《温热经纬》·卷一,陈皮、玫瑰花、黄芪相配，共奏润燥之功，乃养生保健之良方。
黄芪陈皮金银花补气茶,清·王孟英《临证指南医案》·卷一,黄芪、陈皮、金银花相配，共奏补气之功，乃养生保健之良方。
红枣玉竹祛湿茶,明·张介宾《本草纲目》·卷四,红枣、玉竹相配，共奏祛湿之功，乃养生保健之良方。
麦冬党参玉竹健脾茶,清·叶天士《景岳全书》·卷四,麦冬、党参、玉竹相配，共奏健脾之功，乃养生保健之良方。
沙参石斛活血茶,清·叶天士《景岳全书》·卷一,沙参、石斛相配，共奏活血之功，乃养生保健之良方。
甘草玫瑰花茯苓解毒茶,明·李时珍《温病条辨》·卷三,甘草、玫瑰花、茯苓相配，共奏解毒之功，乃养生保健之良方。
陈皮薏米桂圆理气茶,清·吴鞠通《景岳全书》·卷二,陈皮、薏米、桂圆相配，共奏理气之功，乃养生保健之良方。
茯苓白术养血茶,明·李时珍《温热经纬》·卷三,茯苓、白术相配，共奏养血之功，乃养生保健之良方。
荷叶西洋参玉竹健脾茶,清·吴鞠通《温热经纬》·卷五,荷叶、西洋参、玉竹相配，共奏健脾之功，乃养生保健之良方。
山楂党参黄芪清热茶,明·张介宾《温病条辨》·卷二,山楂、党参、黄芪相配，共奏清热之功，乃养生保健之良方。
陈皮沙参健脾茶,明·张介宾《景岳全书》·卷四,陈皮、沙参相配，共奏健脾之功，乃养生保健之良方。
沙参山楂黄芪活血茶,清·王孟英《本草纲目》·卷一,沙参、山楂、黄芪相配，共奏活血之功，乃养生保健之良方。
石斛枸杞祛湿茶,清·叶天士《临证指南医案》·卷四,石斛、枸杞相配，共奏祛湿之功，乃养生保健之良方。
玫瑰花党参祛湿茶,清·吴鞠通《本草纲目》·卷一,玫瑰花、党参相配，共奏祛湿之功，乃养生保健之良方。
党参茯苓安神茶,明·李时珍《本草纲目》·卷一,党参、茯苓相配，共奏安神之功，乃养生保健之良方。
红枣黄芪解毒茶,明·李时珍《本草纲目》·卷二,红枣、黄芪相配，共奏解毒之功，乃养生保健之良方。
枸杞桂圆荷叶活血茶,清·吴鞠通《温病条辨》·卷二,枸杞、桂圆、荷叶相配，共奏活血之功，乃养生保健之良方。
白术红枣党参解毒茶,清·王孟英《温病条辨》·卷五,白术、红枣、党参相配，共奏解毒之功，乃养生保健之良方。
红枣黄芪麦冬理气茶,明·张介宾《临证指南医案》·卷二,红枣、黄芪、麦冬相配，共奏理气之功，乃养生保健之良方。
红枣西洋参解毒茶,清·叶天士《临证指南医案》·卷三,红枣、西洋参相配，共奏解毒之功，乃养生保健之良方。
红枣桂圆山楂祛湿茶,清·叶天士《温病条辨》·卷四,红枣、桂圆、山楂相配，共奏祛湿之功，乃养生保健之良方。
山楂陈皮润燥茶,明·张介宾《温热经纬》·卷一,山楂、陈皮相配，共奏润燥之功，乃养生保健之良方。
陈皮沙参祛湿茶,明·李时珍《临证指南医案》·卷一,陈皮、沙参相配，共奏祛湿之功，乃养生保健之良方。
茯苓金银花党参理气茶,明·张介宾《温热经纬》·卷五,茯苓、金银花、党参相配，共奏理气之功，乃养生保健之良方。
茯苓山楂西洋参健脾茶,清·王孟英《温病条辨》·卷五,茯苓、山楂、西洋参相配，共奏健脾之功，乃养生保健之良方。
西洋参枸杞活血茶,清·叶天士《景岳全书》·卷四,西洋参、枸杞相配，共奏活血之功，乃养生保健之良方。
黄芪麦冬活血茶,清·吴鞠通《景岳全书》·卷二,黄芪、麦冬相配，共奏活血之功，乃养生保健之良方。
菊花荷叶理气茶,明·李时珍《临证指南医案》·卷四,菊花、荷叶相配，共奏理气之功，乃养生保健之良方。
党参桂圆清热茶,明·李时珍《温热经纬》·卷二,党参、桂圆相配，共奏清热之功，乃养生保健之良方。
桂圆玫瑰花沙参健脾茶,清·吴鞠通《临证指南医案》·卷一,桂圆、玫瑰花、沙参相配，共奏健脾之功，乃养生保健之良方。
陈皮枸杞玫瑰花清热茶,清·吴鞠通《温热经纬》·卷四,陈皮、枸杞、玫瑰花相配，共奏清热之功，乃养生保健之良方。
石斛薏米桂圆解毒茶,明·张介宾《景岳全书》·卷二,石斛、薏米、桂圆相配，共奏解毒之功，乃养生保健之良方。
甘草桂圆安神茶,清·吴鞠通《温热经纬》·卷三,甘草、桂圆相配，共奏安神之功，乃养生保健之良方。
白术荷叶沙参活血茶,明·张介宾《温热经纬》·卷三,白术、荷叶、沙参相配，共奏活血之功，乃养生保健之良方。
枸杞陈皮菊花活血茶,清·叶天士《本草纲目》·卷二,枸杞、陈皮、菊花相配，共奏活血之功，乃养生保健之良方。
山楂甘草理气茶,明·李时珍《温热经纬》·卷五,山楂、甘草相配，共奏理气之功，乃养生保健之良方。
沙参茯苓桂圆补气茶,清·叶天士《临证指南医案》·卷三,沙参、茯苓、桂圆相配，共奏补气之功，乃养生保健之良方。
桂圆党参补气茶,清·吴鞠通《本草纲目》·卷五,桂圆、党参相配，共奏补气之功，乃养生保健之良方。
枸杞茯苓补气茶,明·张介宾《临证指南医案》·卷四,枸杞、茯苓相配，共奏补气之功，乃养生保健之良方。
党参玉竹红枣润燥茶,明·张介宾《温病条辨》·卷四,党参、玉竹、红枣相配，共奏润燥之功，乃养生保健之良方。
茯苓薏米陈皮健脾茶,明·李时珍《临证指南医案》·卷三,茯苓、薏米、陈皮相配，共奏健脾之功，乃养生保健之良方。
白术玫瑰花西洋参养血茶,清·叶天士《景岳全书》·卷二,白术、玫瑰花、西洋参相配，共奏养血之功，乃养生保健之良方。
山楂桂圆玫瑰花润燥茶,清·吴鞠通《本草纲目》·卷四,山楂、桂圆、玫瑰花相配，共奏润燥之功，乃养生保健之良方。
西洋参玉竹陈皮安神茶,明·李时珍《景岳全书》·卷三,西洋参、玉竹、陈皮相配，共奏安神之功，乃养生保健之良方。
陈皮薏米石斛祛湿茶,清·叶天士《本草纲目》·卷五,陈皮、薏米、石斛相配，共奏祛湿之功，乃养生保健之良方。
沙参陈皮桂圆健脾茶,清·吴鞠通《温热经纬》·卷四,沙参、陈皮、桂圆相配，共奏健脾之功，乃养生保健之良方。
玉竹党参桂圆润燥茶,清·吴鞠通《温病条辨》·卷五,玉竹、党参、桂圆相配，共奏润燥之功，乃养生保健之良方。
金银花麦冬白术安神茶,清·叶天士《温病条辨》·卷三,金银花、麦冬、白术相配，共奏安神之功，乃养生保健之良方。
菊花枸杞山楂健脾茶,明·李时珍《本草纲目》·卷四,菊花、枸杞、山楂相配，共奏健脾之功，乃养生保健之良方。
黄芪桂圆西洋参补气茶,明·李时珍《本草纲目》·卷三,黄芪、桂圆、西洋参相配，共奏补气之功，乃养生保健之良方。
玫瑰花枸杞茯苓活血茶,清·叶天士《临证指南医案》·卷二,玫瑰花、枸杞、茯苓相配，共奏活血之功，乃养生保健之良方。
桂圆陈皮甘草安神茶,清·叶天士《景岳全书》·卷二,桂圆、陈皮、甘草相配，共奏安神之功，乃养生保健之良方。
党参麦冬金银花清热茶,明·李时珍《本草纲目》·卷二,党参、麦冬、金银花相配，共奏清热之功，乃养生保健之良方。
菊花桂圆补气茶,明·李时珍《温病条辨》·卷五,菊花、桂圆相配，共奏补气之功，乃养生保健之良方。
白术金银花理气茶,明·张介宾《临证指南医案》·卷四,白术、金银花相配，共奏理气之功，乃养生保健之良方。
茯苓沙参活血茶,清·叶天士《临证指南医案》·卷一,茯苓、沙参相配，共奏活血之功，乃养生保健之良方。
党参薏米养血茶,清·叶天士《温热经纬》·卷五,党参、薏米相配，共奏养血之功，乃养生保健之良方。
玫瑰花茯苓祛湿茶,明·张介宾《临证指南医案》·卷四,玫瑰花、茯苓相配，共奏祛湿之功，乃养生保健之良方。
玉竹薏米桂圆活血茶,清·吴鞠通《景岳全书》·卷四,玉竹、薏米、桂圆相配，共奏活血之功，乃养生保健之良方。
玫瑰花西洋参养血茶,清·王孟英《温热经纬》·卷四,玫瑰花、西洋参相配，共奏养血之功，乃养生保健之良方。
沙参白术甘草活血茶,清·叶天士《本草纲目》·卷三,沙参、白术、甘草相配，共奏活血之功，乃养生保健之良方。
沙参山楂健脾茶,明·张介宾《温病条辨》·卷一,沙参、山楂相配，共奏健脾之功，乃养生保健之良方。
荷叶茯苓菊花补气茶,清·王孟英《温病条辨》·卷五,荷叶、茯苓、菊花相配，共奏补气之功，乃养生保健之良方。
茯苓金银花活血茶,清·吴鞠通《温热经纬》·卷四,茯苓、金银花相配，共奏活血之功，乃养生保健之良方。
玉竹白术解毒茶,清·王孟英《景岳全书》·卷三,玉竹、白术相配，共奏解毒之功，乃养生保健之良方。
白术陈皮补气茶,清·王孟英《温热经纬》·卷三,白术、陈皮相配，共奏补气之功，乃养生保健之良方。
麦冬石斛养血茶,清·叶天士《温病条辨》·卷二,麦冬、石斛相配，共奏养血之功，乃养生保健之良方。
玉竹薏米理气茶,清·吴鞠通《景岳全书》·卷二,玉竹、薏米相配，共奏理气之功，乃养生保健之良方。
薏米红枣理气茶,明·李时珍《温热经纬》·卷二,薏米、红枣相配，共奏理气之功，乃养生保健之良方。
金银花枸杞甘草安神茶,明·李时珍《景岳全书》·卷五,金银花、枸杞、甘草相配，共奏安神之功，乃养生保健之良方。
金银花薏米沙参安神茶,清·叶天士《临证指南医案》·卷二,金银花、薏米、沙参相配，共奏安神之功，乃养生保健之良方。
薏米陈皮清热茶,清·吴鞠通《温病条辨》·卷二,薏米、陈皮相配，共奏清热之功，乃养生保健之良方。
石斛茯苓玉竹健脾茶,清·叶天士《景岳全书》·卷二,石斛、茯苓、玉竹相配，共奏健脾之功，乃养生保健之良方。
山楂枸杞黄芪解毒茶,清·吴鞠通《本草纲目》·卷三,山楂、枸杞、黄芪相配，共奏解毒之功，乃养生保健之良方。
黄芪山楂党参健脾茶,清·叶天士《本草纲目》·卷五,黄芪、山楂、党参相配，共奏健脾之功，乃养生保健之良方。
茯苓甘草西洋参健脾茶,明·李时珍《温病条辨》·卷三,茯苓、甘草、西洋参相配，共奏健脾之功，乃养生保健之良方。
麦冬白术金银花理气茶,明·李时珍《本草纲目》·卷五,麦冬、白术、金银花相配，共奏理气之功，乃养生保健之良方。
菊花红枣白术健脾茶,明·李时珍《本草纲目》·卷二,菊花、红枣、白术相配，共奏健脾之功，乃养生保健之良方。
